     0.167     0.0159
     0.218     0.0131
     0.267     0.0131
     0.313     0.0117
     0.357     0.0117
     0.401     0.0126
     0.439     0.0141
     0.483     0.0215
     0.511     0.0267
     0.573     0.0464
     0.627     0.0614
     0.657     0.0693
     0.706     0.0759
      0.75     0.0801
     0.796     0.0838
      0.84     0.0881
     0.866     0.0918
     0.881      0.103
     0.894       0.11
     0.909      0.125
     0.927      0.136
     0.948      0.148
     0.979      0.156
     0.994      0.165
      1.04      0.168
      1.09      0.169
      1.13      0.169
      1.18       0.17
      1.23       0.17
      1.27      0.172
      1.32      0.174
      1.36      0.174
      1.41      0.174
      1.45      0.174
