      0.11    0.00454
     0.157    0.00401
     0.187    0.00358
     0.229    0.00328
     0.277    0.00299
     0.321    0.00283
     0.359     0.0026
     0.403    0.00246
     0.431    0.00242
     0.453    0.00201
     0.493    0.00151
     0.523   0.000984
     0.567   0.000323
     0.612  -0.000132
     0.657  -0.000223
     0.704  -0.000246
     0.752  -0.000246
     0.794  -0.000405
     0.824  -0.000838
     0.871  -0.000861
     0.911  -0.000633
     0.938  0.0000729
     0.985   0.000802
      1.02    0.00123
      1.06    0.00139
      1.11    0.00153
      1.15    0.00146
       1.2    0.00144
      1.25    0.00142
      1.29    0.00139
