       0.1      0.022
     0.121     0.0192
     0.149     0.0145
     0.179     0.0126
     0.208     0.0122
     0.238     0.0122
     0.274     0.0122
     0.315     0.0103
     0.346     0.0103
      0.39     0.0108
     0.413     0.0112
     0.438     0.0122
     0.462      0.015
     0.479     0.0178
     0.495      0.022
      0.51     0.0248
     0.526     0.0286
     0.538     0.0328
     0.549     0.0365
     0.559     0.0407
     0.572      0.044
     0.585     0.0482
     0.595      0.052
     0.605     0.0562
     0.615     0.0604
     0.631     0.0646
     0.644     0.0679
     0.654     0.0717
     0.667     0.0749
     0.685     0.0796
       0.7     0.0829
     0.715     0.0862
     0.733     0.0895
     0.749     0.0927
     0.767     0.0956
     0.779     0.0988
     0.792      0.102
      0.81      0.105
     0.823      0.108
     0.841      0.111
     0.859      0.114
     0.872      0.117
      0.89      0.121
     0.903      0.125
     0.926      0.129
     0.944      0.132
     0.959      0.135
     0.974      0.138
     0.987      0.141
      1.01      0.143
      1.02      0.147
      1.04      0.149
      1.07      0.153
      1.08      0.155
       1.1      0.156
      1.12      0.158
      1.14       0.16
      1.16      0.162
      1.19      0.163
      1.21      0.164
      1.25      0.166
      1.27      0.167
       1.3      0.167
      1.32      0.168
      1.34      0.168
      1.37      0.168
      1.38      0.169
      1.41      0.169
      1.43      0.169
      1.45      0.169
      1.48       0.17
       1.5       0.17
     0.295     0.0117
     0.136     0.0169
