    0.0975    0.00605
     0.112    0.00575
     0.125    0.00548
     0.137    0.00519
     0.147    0.00501
     0.167    0.00469
     0.185    0.00446
     0.197    0.00417
     0.219    0.00389
     0.244    0.00373
     0.274     0.0036
     0.299    0.00346
     0.324    0.00335
     0.344    0.00323
     0.364    0.00312
     0.381    0.00301
     0.401    0.00292
     0.421     0.0028
     0.441     0.0026
     0.461    0.00242
     0.473    0.00223
     0.488    0.00203
     0.503    0.00185
     0.518    0.00164
     0.528    0.00144
     0.545    0.00121
     0.555    0.00101
     0.567   0.000782
     0.582   0.000532
     0.605   0.000327
     0.627   0.000123
     0.647 -0.0000588
     0.669  -0.000195
     0.699  -0.000264
     0.724  -0.000309
     0.749  -0.000355
     0.766  -0.000355
     0.801  -0.000379
     0.824  -0.000379
     0.848  -0.000379
     0.871  -0.000312
     0.903  -0.000222
     0.931  -0.000131
     0.953  -0.000041
     0.973  0.0000493
     0.995   0.000162
      1.02   0.000275
      1.04   0.000388
      1.07   0.000524
      1.09   0.000592
      1.11   0.000705
      1.13   0.000818
      1.16   0.000885
      1.18   0.000953
       1.2   0.000998
      1.22    0.00113
      1.26    0.00111
      1.28    0.00116
      1.31    0.00122
      1.34    0.00125
      1.37    0.00131
       1.4    0.00131
      1.43    0.00136
      1.45    0.00136
      1.49     0.0014
